RUN_UUID,CLASS_NAME,FEEDBACK_TYPE,NUMBER,INPUT_TOKEN_COUNT,OUTPUT_TOKEN_COUNT
019c64ec-734e-7bb5-b9bc-85f7b7ed1f14,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,9,8934,3062
019c64ec-734e-7bb5-b9bc-85f7b7ed1f14,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,10,17630,6586
019c64ec-734e-7bb5-b9bc-85f7b7ed1f14,com.fasterxml.jackson.core.util.TextBuffer,INITIAL,0,33525,14000
019c64ec-734e-7bb5-b9bc-85f7b7ed1f14,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,1,31542,6184
019c64ec-734e-7bb5-b9bc-85f7b7ed1f14,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,2,39289,9999
019c64ec-734e-7bb5-b9bc-85f7b7ed1f14,com.fasterxml.jackson.core.util.TextBuffer,MUTATION,3,62405,17691
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,COVERAGE,1,3097,1966
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,COVERAGE,2,12112,6659
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,COVERAGE,3,3742,3353
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,COVERAGE,4,4006,2489
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,COVERAGE,5,4233,2315
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,COVERAGE,6,4233,2698
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,COVERAGE,7,4303,2615
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,COVERAGE,8,4498,2307
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,COVERAGE,9,4498,2874
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,COVERAGE,10,7218,5788
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,INITIAL,0,3331,2902
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,MUTATION,1,9497,3783
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,MUTATION,2,5549,1696
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,MUTATION,3,5482,1978
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,MUTATION,4,9233,4268
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,MUTATION,5,11366,6770
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,MUTATION,6,5536,2913
019c64ff-a977-7e5d-b50c-1519ec2dd831,com.fasterxml.jackson.core.JsonPointer,MUTATION,7,5657,2849
